"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0V500","2020-04-27 00:00:00","6.000","358.000","0.600","25.000","0.730","1013.200","","0.000","-99.000","-99.000","-99.000","29.600","","22.800",""
"CM0160","2020-04-27 00:00:00","159.000","116.000","0.300","20.800","0.780","999.200","","0.000","-99.000","-99.000","-99.000","28.800","","19.300",""
"C0V350","2020-04-27 00:00:00","36.000","261.000","0.300","23.800","0.790","1012.600","","0.000","-99.000","-99.000","-99.000","32.900","","20.700",""
"C0W120","2020-04-27 00:00:00","58.000","23.000","5.100","21.600","0.820","1009.800","","0.000","-99.000","-99.000","-99.000","23.700","","20.900",""
"C0R470","2020-04-27 00:00:00","103.000","326.000","0.500","24.200","0.780","1004.500","","0.000","-99.000","-99.000","-99.000","31.600","","21.500",""
"C0M770","2020-04-27 00:00:00","164.000","0.000","0.000","20.900","1.000","996.500","","0.000","-99.000","-99.000","-99.000","26.700","","19.700",""
"C0S930","2020-04-27 00:00:00","248.000","166.000","0.500","19.900","0.960","989.800","","0.000","-99.000","-99.000","-99.000","26.500","","18.900",""
"C0F9Y0","2020-04-27 00:00:00","3313.000","240.000","6.600","5.300","0.880","687.500","","2.000","20.500","252.000","","8.000","","4.100",""
"C0E790","2020-04-27 00:00:00","344.000","85.000","0.600","19.900","1.000","976.500","","0.000","-99.000","-99.000","-99.000","24.400","","18.900",""
"C0O810","2020-04-27 00:00:00","161.000","0.000","0.000","22.400","0.990","998.000","","0.000","-99.000","-99.000","-99.000","30.000","","20.500",""
"C0R520","2020-04-27 00:00:00","18.000","5.000","1.800","25.000","0.790","1013.700","","0.000","-99.000","-99.000","-99.000","32.100","","22.300",""
"C0G880","2020-04-27 00:00:00","92.000","0.000","0.000","21.400","0.780","1005.300","","0.000","-99.000","-99.000","-99.000","26.800","","20.100",""
"C0R140","2020-04-27 00:00:00","740.000","315.000","1.100","19.500","0.860","935.700","","0.000","-99.000","-99.000","-99.000","29.000","","17.500",""
"C0V800","2020-04-27 00:00:00","256.000","0.000","0.200","23.800","0.780","985.300","","0.000","-99.000","-99.000","-99.000","30.700","","20.700",""
"C0S830","2020-04-27 00:00:00","288.000","53.000","1.000","19.300","1.000","986.600","","2.000","-99.000","-99.000","-99.000","28.900","","19.200",""
"C0S920","2020-04-27 00:00:00","98.000","330.000","1.000","21.300","0.940","1001.400","","0.500","-99.000","-99.000","-99.000","28.400","","20.100",""
"C0V640","2020-04-27 00:00:00","35.000","44.000","1.600","23.700","0.810","1011.700","","0.000","-99.000","-99.000","-99.000","29.600","","21.700",""
"C0AH80","2020-04-27 00:00:00","68.000","0.000","0.100","18.400","0.950","1009.400","","0.000","-99.000","-99.000","-99.000","22.400","","17.800",""
"C0K250","2020-04-27 00:00:00","12.000","6.000","1.400","21.200","0.860","1014.600","","0.000","-99.000","-99.000","-99.000","26.700","","20.200",""
"C0R840","2020-04-27 00:00:00","536.000","40.000","5.400","19.500","1.000","956.100","","5.500","10.800","48.000","","27.000","","18.700",""
"C0I410","2020-04-27 00:00:00","180.000","0.000","0.000","21.500","0.790","994.900","","0.000","-99.000","-99.000","-99.000","27.100","","19.600",""
"C0M410","2020-04-27 00:00:00","245.000","347.000","0.600","21.400","0.850","984.300","","0.000","-99.000","-99.000","-99.000","29.100","","19.000",""
"C0F9Z0","2020-04-27 00:00:00","3193.000","-99.000","-99.000","-99.000","-99.000","-99.000","","-99.000","-99.000","-99.000","-99.000","-999.000","","-999.000",""
"C0G810","2020-04-27 00:00:00","26.000","351.000","1.200","21.900","0.790","1012.800","","0.000","-99.000","-99.000","-99.000","26.400","","21.600",""
"C0U650","2020-04-27 00:00:00","442.000","0.000","0.000","17.000","0.800","968.800","","3.500","-99.000","-99.000","-99.000","22.100","","15.600",""
"C0D660","2020-04-27 00:00:00","65.000","66.000","0.800","21.000","0.620","1009.000","","0.500","-99.000","-99.000","-99.000","23.300","","19.600",""
"C0E540","2020-04-27 00:00:00","32.000","60.000","1.000","19.800","0.750","1013.000","","0.000","-99.000","-99.000","-99.000","24.700","","18.900",""
"C0W170","2020-04-27 00:00:00","42.000","358.000","2.900","16.800","0.930","1013.000","","0.000","-99.000","-99.000","-99.000","20.000","","16.800",""
"C0Z150","2020-04-27 00:00:00","27.000","240.000","2.300","20.400","0.970","1015.700","","0.000","-99.000","-99.000","-99.000","25.600","","19.400",""
"C0S840","2020-04-27 00:00:00","22.000","332.000","0.800","23.000","0.890","1016.100","","2.000","-99.000","-99.000","-99.000","28.200","","20.400",""
"C0H9A0","2020-04-27 00:00:00","1595.000","152.000","0.400","14.400","0.980","849.000","","0.500","-99.000","-99.000","-99.000","21.700","","12.600",""
"C0Z300","2020-04-27 00:00:00","182.000","61.000","1.400","18.900","0.990","998.700","","6.000","-99.000","-99.000","-99.000","27.800","","17.900",""
"C0G730","2020-04-27 00:00:00","27.000","17.000","2.200","21.200","0.920","1013.600","","0.000","-99.000","-99.000","-99.000","24.800","","20.300",""
"C0V730","2020-04-27 00:00:00","33.000","351.000","1.300","25.100","0.700","1012.400","","0.000","-99.000","-99.000","-99.000","30.900","","22.300",""
"C0SA00","2020-04-27 00:00:00","466.000","0.000","0.000","19.100","1.000","964.600","","0.000","-99.000","-99.000","-99.000","26.200","","17.800",""
"C0S900","2020-04-27 00:00:00","27.000","32.000","3.200","24.000","0.850","1014.400","","0.000","8.400","48.000","","28.100","","23.700",""
"C0C480","2020-04-27 00:00:00","105.000","122.000","1.300","20.200","0.740","1004.600","","0.000","-99.000","-99.000","-99.000","22.800","","18.500",""
"C0V720","2020-04-27 00:00:00","15.000","62.000","1.500","26.100","0.660","1013.900","","0.000","-99.000","-99.000","-99.000","31.600","","23.100",""
"C0UA60","2020-04-27 00:00:00","566.000","330.000","0.500","17.100","0.780","953.800","","0.000","-99.000","-99.000","-99.000","24.100","","16.400",""
"C0A980","2020-04-27 00:00:00","11.000","0.000","0.200","21.000","0.730","1017.000","","0.000","-99.000","-99.000","-99.000","23.900","","18.800",""
"C0C670","2020-04-27 00:00:00","250.000","55.000","1.800","18.500","0.740","988.400","","0.500","-99.000","-99.000","-99.000","20.500","","17.700",""
"C0K550","2020-04-27 00:00:00","15.000","347.000","1.000","21.600","0.820","1014.500","","0.000","-99.000","-99.000","-99.000","27.000","","20.500",""
"C0R350","2020-04-27 00:00:00","35.000","54.000","3.300","23.900","0.890","1012.100","","0.000","-99.000","-99.000","-99.000","31.300","","22.000",""
"C0T9F0","2020-04-27 00:00:00","251.000","0.000","0.200","18.200","0.990","989.500","","0.000","-99.000","-99.000","-99.000","26.500","","18.100",""
"C0D390","2020-04-27 00:00:00","146.000","0.000","0.000","19.300","0.770","998.300","","0.000","-99.000","-99.000","-99.000","21.800","","17.800",""
"C0E430","2020-04-27 00:00:00","258.000","178.000","0.800","18.400","0.900","990.300","","0.500","-99.000","-99.000","-99.000","21.700","","17.400",""
"C0O990","2020-04-27 00:00:00","18.000","8.000","1.200","22.800","0.920","1013.500","","0.000","-99.000","-99.000","-99.000","30.500","","21.200",""
"CM0010","2020-04-27 00:00:00","68.000","-99.000","-99.000","19.300","0.800","1010.400","","0.000","-99.000","-99.000","-99.000","22.000","","18.600",""
"C0K500","2020-04-27 00:00:00","12.000","13.000","1.800","21.400","0.850","1013.400","","0.000","-99.000","-99.000","-99.000","25.900","","20.600",""
"C0X260","2020-04-27 00:00:00","39.000","40.000","1.400","21.300","0.810","1012.000","","0.000","-99.000","-99.000","-99.000","27.400","","20.300",""
"C0ACA0","2020-04-27 00:00:00","25.000","74.000","0.300","21.000","0.750","1013.600","","0.000","-99.000","-99.000","-99.000","22.200","","19.200",""
